start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,rat_present,vigilance_time,season_label,time,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,rat_activity_index,bat_landing_to_food_winsor,y_log,ratact_x_ratpresent,season_num,food_x_season
2018-03-20 02:11:00,4.0,rat_pick,2018-03-20 02:11:00,2018-03-20 02:11:00,-0.9835393314048834,1,1,3,2018-03-19 17:51:00,1.1668358441278932,1,1,4.0,spring,2018-03-20 02:21:00,-0.7095501848796677,-0.0948744906352334,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,4.0,1.6094379124341003,-0.3354160802832823,1,0.2723910220672272
2018-05-07 03:45:00,23.0,rat,2018-05-07 03:38:00,2018-05-07 03:54:00,0.5818020049876098,1,0,5,2018-05-06 19:24:00,1.1690232383525057,1,1,23.0,spring,2018-05-17 04:01:00,-1.249969345604357,-1.8750884014314422,-0.0769843864549651,0.32363682568360663,-0.1977726481208075,23.0,3.1780538303479458,-0.1977726481208075,1,-0.9589836556644511
2018-04-20 03:33:00,2.0,fast,2018-04-20 03:24:00,2018-04-20 03:36:00,1.0966622853925678,0,1,4,2018-04-19 19:12:00,1.1694837423343525,1,1,2.0,spring,2018-04-26 03:47:00,-0.36213786727093883,-0.6247000597116061,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,2.0,1.0986122886681098,-0.3354160802832823,1,-0.09408953704919186
2018-04-29 03:40:00,0.025349973,bats,2018-04-29 03:33:00,2018-04-29 03:48:00,0.4946079252416089,1,0,4,2018-04-28 19:19:00,1.170750128595272,1,1,0.025349973,spring,2018-04-26 03:47:00,-0.36213786727093883,-0.6247000597116061,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,0.025349973,0.02503399138716953,-0.3354160802832823,1,-0.09408953704919186
2018-04-20 03:33:00,1.0,fast,2018-04-20 03:24:00,2018-04-20 03:36:00,1.204616860316188,0,1,4,2018-04-19 19:12:00,1.172477018423584,1,1,1.0,spring,2018-04-26 03:47:00,-0.36213786727093883,-0.6247000597116061,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,1.0,0.6931471805599453,-0.3354160802832823,1,-0.09408953704919186
2018-04-20 03:33:00,3.0,fast,2018-04-20 03:24:00,2018-04-20 03:36:00,1.2793546429556173,0,1,4,2018-04-19 19:12:00,1.174549286549121,1,1,3.0,spring,2018-04-26 03:47:00,-0.36213786727093883,-0.6247000597116061,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,3.0,1.3862943611198906,-0.3354160802832823,1,-0.09408953704919186
2018-05-06 03:46:00,1.0,fast,2018-05-06 03:30:00,2018-05-06 03:46:00,2.7076767111758233,0,1,5,2018-05-05 19:24:00,1.1758156728100406,1,1,1.0,spring,2018-05-17 04:01:00,-1.249969345604357,-1.8750884014314422,-0.0769843864549651,0.32363682568360663,-0.1977726481208075,1.0,0.6931471805599453,-0.1977726481208075,1,-0.9589836556644511
2018-04-20 03:34:00,3.0,pick,2018-04-20 03:24:00,2018-04-20 03:36:00,1.403917614021333,0,1,4,2018-04-19 19:12:00,1.178003067034653,1,1,3.0,spring,2018-04-26 03:47:00,-0.36213786727093883,-0.6247000597116061,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,3.0,1.3862943611198906,-0.3354160802832823,1,-0.09408953704919186
2018-04-22 03:36:00,2.0,fast,2018-04-22 03:31:00,2018-04-22 03:44:00,0.1084627149378904,0,1,4,2018-04-21 19:14:00,1.1803055869438868,1,1,2.0,spring,2018-04-26 03:47:00,-0.36213786727093883,-0.6247000597116061,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,2.0,1.0986122886681098,-0.3354160802832823,1,-0.09408953704919186
2018-01-29 01:32:00,22.0,pick,2018-01-29 01:29:00,2018-01-29 01:33:00,-0.24031360404611338,0,1,1,2018-01-28 17:10:00,1.1811114692229585,0,1,22.0,winter,2018-01-01 01:16:00,-0.5937460790100915,-0.6247000597116061,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,22.0,3.1354942159291497,-0.3354160802832823,0,-1.8238777742797103
2018-04-20 03:35:00,73.0,rat_and_bat,2018-04-20 03:24:00,2018-04-20 03:36:00,1.5450889812291442,1,0,4,2018-04-19 19:12:00,1.1819173510875776,1,1,73.0,spring,2018-04-26 03:47:00,-0.36213786727093883,-0.6247000597116061,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,73.0,4.30406509320417,-0.3354160802832823,1,-0.09408953704919186
