start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,rat_present,hours_after_sunset_sq,risk_reward_interaction,interaction_rat_risk,interaction_time_risk,reward_to_risk_ratio,nocturnal_index,month_log1p,season_log1p,risk_reward_interaction_log1p,hours_after_sunset_poly,hours_after_sunset^2
28/12/2017 19:44,5.0,rat_and_others,28/12/2017 19:35,28/12/2017 19:46,521,1,0,0,28/12/2017 16:44,3.009722222,0,1,9.058427853600618,0.0,1.0,3.009722222,0.0,0.7089042677081218,0.0,0.0,0.0,3.009722222,9.058427853600618
28/12/2017 19:45,15.0,pick_and_others,28/12/2017 19:35,28/12/2017 19:46,564,1,1,0,28/12/2017 16:44,3.021666667,0,1,9.130469446458887,1.0,1.0,3.021666667,0.5,0.7111063200991445,0.0,0.0,0.6931471805599453,3.021666667,9.130469446458887
28/12/2017 19:46,24.0,rat,28/12/2017 19:35,28/12/2017 19:46,607,1,0,0,28/12/2017 16:44,3.033611111,0,1,9.202796372782654,0.0,1.0,3.033611111,0.0,0.7133014188078204,0.0,0.0,0.0,3.033611111,9.202796372782654
28/12/2017 3:58,2.0,fast,28/12/2017 3:56,28/12/2017 4:13,107,0,1,0,27/12/2017 16:43,11.26277778,0,1,126.85016332166174,0.0,0.0,0.0,1.0,0.19180829894723003,0.0,0.0,0.0,11.26277778,126.85016332166174
28/12/2017 4:02,2.0,fast,28/12/2017 3:56,28/12/2017 4:13,358,0,1,0,27/12/2017 16:43,11.3325,0,1,128.42555625,0.0,0.0,0.0,1.0,0.1738630252550712,0.0,0.0,0.0,11.3325,128.42555625
28/12/2017 4:11,1.0,,28/12/2017 3:56,28/12/2017 4:13,852,0,0,0,27/12/2017 16:43,11.46972222,0,1,131.55452780396172,0.0,0.0,0.0,0.0,0.13838089950404164,0.0,0.0,0.0,11.46972222,131.55452780396172
27/01/2018 23:44,0.049410419,fast,27/01/2018 23:44,27/01/2018 23:50,12,0,1,1,27/01/2018 17:09,6.591111111,0,1,43.442745677547656,0.0,0.0,0.0,1.0,0.9880497054287403,0.6931471805599453,0.0,0.0,6.591111111,43.442745677547656
27/01/2018 23:44,1.0,fast,27/01/2018 23:44,27/01/2018 23:50,14,0,1,1,27/01/2018 17:09,6.591666667,0,1,43.45006944883889,0.0,0.0,0.0,1.0,0.9880272768476763,0.6931471805599453,0.0,0.0,6.591666667,43.45006944883889
27/01/2018 23:45,6.0,rat,27/01/2018 23:44,27/01/2018 23:50,49,1,0,1,27/01/2018 17:09,6.601388889,0,1,43.578335263812654,0.0,1.0,6.601388889,0.0,0.9876313941228607,0.6931471805599453,0.0,0.0,6.601388889,43.578335263812654
27/01/2018 23:45,3.0,fast,27/01/2018 23:44,27/01/2018 23:50,68,0,1,1,27/01/2018 17:09,6.606666667,0,1,43.648044448848886,0.0,0.0,0.0,1.0,0.9874138067371095,0.6931471805599453,0.0,0.0,6.606666667,43.648044448848886
27/01/2018 23:45,8.0,rat,27/01/2018 23:44,27/01/2018 23:50,84,1,0,1,27/01/2018 17:09,6.611111111,0,1,43.70679012198765,0.0,1.0,6.611111111,0.0,0.9872291131220081,0.6931471805599453,0.0,0.0,6.611111111,43.70679012198765
27/01/2018 23:46,31.0,rat,27/01/2018 23:44,27/01/2018 23:50,122,1,0,1,27/01/2018 17:09,6.621666667,0,1,43.8464694488589,0.0,1.0,6.621666667,0.0,0.986785109484154,0.6931471805599453,0.0,0.0,6.621666667,43.8464694488589
27/01/2018 23:47,0.010695699,fast,27/01/2018 23:44,27/01/2018 23:50,186,0,1,1,27/01/2018 17:09,6.639444444,0,1,44.08222252496246,0.0,0.0,0.0,1.0,0.9860202821919302,0.6931471805599453,0.0,0.0,6.639444444,44.08222252496246
27/01/2018 23:48,2.0,fast,27/01/2018 23:44,27/01/2018 23:50,231,0,1,1,27/01/2018 17:09,6.651944444,0,1,44.24836488606247,0.0,0.0,0.0,1.0,0.9854697232806957,0.6931471805599453,0.0,0.0,6.651944444,44.24836488606247
27/01/2018 23:48,1.0,gaze,27/01/2018 23:44,27/01/2018 23:50,246,0,0,1,27/01/2018 17:09,6.656111111,0,1,44.30381512197766,0.0,0.0,0.0,0.0,0.9852838580922786,0.6931471805599453,0.0,0.0,6.656111111,44.30381512197766
27/01/2018 23:48,9.0,pick,27/01/2018 23:44,27/01/2018 23:50,253,0,1,1,27/01/2018 17:09,6.658055556,0,1,44.32970378678247,0.0,0.0,0.0,1.0,0.9851967197512304,0.6931471805599453,0.0,0.0,6.658055556,44.32970378678247
27/01/2018 23:50,6.0,pick,27/01/2018 23:44,27/01/2018 23:50,355,0,1,1,27/01/2018 17:09,6.686388889,0,1,44.70779637494265,0.0,0.0,0.0,1.0,0.9838980381907098,0.6931471805599453,0.0,0.0,6.686388889,44.70779637494265
28/01/2018 4:20,11.0,pick,28/01/2018 4:08,28/01/2018 4:20,742,0,1,1,27/01/2018 17:09,11.1975,0,1,125.38400625,0.0,0.0,0.0,1.0,0.20855184234829452,0.6931471805599453,0.0,0.0,11.1975,125.38400625
1/01/2018 1:52,2.0,fast,1/01/2018 1:50,1/01/2018 1:55,115,0,1,1,31/12/2017 16:46,9.108333333,0,1,82.96173610503887,0.0,0.0,0.0,1.0,0.6867704174652819,0.6931471805599453,0.0,0.0,9.108333333,82.96173610503887
31/01/2018 19:44,3.0,rat,31/01/2018 19:41,31/01/2018 19:45,195,1,0,1,31/01/2018 17:13,2.522777778,0,1,6.364407717170617,0.0,1.0,2.522777778,0.0,0.6134815085207231,0.6931471805599453,0.0,0.0,2.522777778,6.364407717170617
31/01/2018 22:23,1.0,fast,31/01/2018 22:20,31/01/2018 22:24,168,0,1,1,31/01/2018 17:13,5.168333333,0,1,26.711669440998886,0.0,0.0,0.0,1.0,0.9763903537589708,0.6931471805599453,0.0,0.0,5.168333333,26.711669440998886
10/01/2018 23:34,4.0,,10/01/2018 23:32,10/01/2018 23:34,113,0,0,1,10/01/2018 16:54,6.673888889,0,1,44.54079290271765,0.0,0.0,0.0,0.0,0.984477663499931,0.6931471805599453,0.0,0.0,6.673888889,44.54079290271765
10/01/2018 4:12,1.0,rat,10/01/2018 4:07,10/01/2018 4:15,306,1,0,1,9/01/2018 16:53,11.32222222,0,1,128.19271599906173,0.0,1.0,11.32222222,0.0,0.17651212916138107,0.6931471805599453,0.0,0.0,11.32222222,128.19271599906173
28/01/2018 19:56,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,9,0,1,1,28/01/2018 17:10,2.770833333,0,1,7.67751735926389,0.0,0.0,0.0,1.0,0.6634366377137154,0.6931471805599453,0.0,0.0,2.770833333,7.67751735926389
28/01/2018 20:03,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,456,1,0,1,28/01/2018 17:10,2.895,0,1,8.381025,0.0,1.0,2.895,0.0,0.6874044733952326,0.6931471805599453,0.0,0.0,2.895,8.381025
28/01/2018 20:04,0.035319187,rat,28/01/2018 19:56,28/01/2018 20:10,528,1,0,1,28/01/2018 17:10,2.915,0,1,8.497225,0.0,1.0,2.915,0.0,0.691197799226716,0.6931471805599453,0.0,0.0,2.915,8.497225
28/01/2018 20:05,1.0,rat,28/01/2018 19:56,28/01/2018 20:10,534,1,0,1,28/01/2018 17:10,2.916666667,0,1,8.506944446388887,0.0,1.0,2.916666667,0.0,0.6915130558453075,0.6931471805599453,0.0,0.0,2.916666667,8.506944446388887
28/01/2018 20:05,7.0,pick_rat,28/01/2018 19:56,28/01/2018 20:10,545,1,1,1,28/01/2018 17:10,2.919722222,0,1,8.524777853640616,1.0,1.0,2.919722222,0.5,0.6920906841133019,0.6931471805599453,0.0,0.6931471805599453,2.919722222,8.524777853640616
28/01/2018 20:05,1.0,fast,28/01/2018 19:56,28/01/2018 20:10,551,0,1,1,28/01/2018 17:10,2.921388889,0,1,8.534513040772655,0.0,0.0,0.0,1.0,0.6924055675554467,0.6931471805599453,0.0,0.0,2.921388889,8.534513040772655
