feature,VIF
hours_after_sunset_sq,2.8501496956381103
interaction_rat_risk,4.912980574076563
reward_to_risk_ratio,4.688819432278042
nocturnal_index,9.63488937666589
season_log1p,5.527287075670211
risk_reward_interaction_log1p,1.5575665934646787
