start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,time,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,rat_activity_index,bat_landing_to_food_winsor,y_log,season_num,food_x_season
17/05/2018 19:16,0.068724243,,17/05/2018 19:14,17/05/2018 19:16,-0.6721319037405943,0,0,5,17/05/2018 19:32,-2.4011493640657124,1,2018-05-03 18:52:00,-0.5937460790100915,1.746183903301195,2.6599356720015055,0.32363682568360663,0.8408863798782517,0.068724243,0.06646564086146138,1,1.5458518532460657
1/05/2018 19:09,4.0,pick,1/05/2018 18:58,1/05/2018 19:17,1.3914613169147614,0,1,5,1/05/2018 19:21,-2.3750157602983446,1,2018-05-07 19:25:00,-0.5551447103868994,1.0644210335108109,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,4.0,1.6094379124341003,1,1.0742762021479986
18/04/2018 19:01,0.084689878,,18/04/2018 19:01,18/04/2018 19:01,-1.074885510186408,0,0,4,18/04/2018 19:12,-2.3654603019497293,1,2018-04-21 19:14:00,-0.786752922126052,1.2939992927120825,0.21673386367786815,0.32363682568360663,-0.08630680122990346,0.084689878,0.08129411940806763,1,1.2330755763264243
1/05/2018 19:10,1.0,fast,1/05/2018 18:58,1/05/2018 19:17,1.7443897349342892,0,1,5,1/05/2018 19:21,-2.3652300497515792,1,2018-05-07 19:25:00,-0.5551447103868994,1.0644210335108109,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,1.0,0.6931471805599453,1,1.0742762021479986
28/04/2018 19:08,0.025345863,fast,28/04/2018 19:08,28/04/2018 19:16,-1.166231688967933,0,1,4,28/04/2018 19:19,-2.3628124037432703,1,2018-04-21 19:14:00,-0.786752922126052,1.2939992927120825,0.21673386367786815,0.32363682568360663,-0.08630680122990346,0.025345863,0.025029982991650455,1,1.2330755763264243
3/05/2018 19:11,1.0,rat,3/05/2018 18:58,3/05/2018 19:25,2.1056223510248646,1,0,5,3/05/2018 19:22,-2.3621216475632734,1,2018-05-07 19:25:00,-0.5551447103868994,1.0644210335108109,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,1.0,0.6931471805599453,1,1.0742762021479986
3/05/2018 19:12,39.0,rat_and_pick,3/05/2018 18:58,3/05/2018 19:25,2.3298356989431523,1,1,5,3/05/2018 19:22,-2.3559048431866607,1,2018-05-07 19:25:00,-0.5551447103868994,1.0644210335108109,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,39.0,3.6888794541139363,1,1.0742762021479986
28/04/2018 19:10,0.096196,fast,28/04/2018 19:08,28/04/2018 19:16,-0.8589763603391677,0,1,4,28/04/2018 19:19,-2.35429307904297,1,2018-04-21 19:14:00,-0.786752922126052,1.2939992927120825,0.21673386367786815,0.32363682568360663,-0.08630680122990346,0.096196,0.09184600465405526,1,1.2330755763264243
28/04/2018 19:10,0.063701466,pick,28/04/2018 19:08,28/04/2018 19:16,-0.7966948748063098,0,1,4,28/04/2018 19:19,-2.3525661888002047,1,2018-04-21 19:14:00,-0.786752922126052,1.2939992927120825,0.21673386367786815,0.32363682568360663,-0.08630680122990346,0.063701466,0.061754774482673795,1,1.2330755763264243
3/05/2018 19:14,4.0,rat,3/05/2018 18:58,3/05/2018 19:25,2.686916215998204,1,0,5,3/05/2018 19:22,-2.3460040065408205,1,2018-05-07 19:25:00,-0.5551447103868994,1.0644210335108109,-0.43968192264834527,-0.6171920233389292,-0.3354160802832823,4.0,1.6094379124341003,1,1.0742762021479986
